City,County,Type,Zip,latitude,longitude
Mascotte,Lake,Standard,34753,28.583191,-81.89038
Minneola,Lake,P.O. Box,34755,28.578234,-81.831883
Montverde,Lake,Standard,34756,28.597126,-81.67579
Kissimmee,Osceola,Standard,34758,28.178192,-81.48731
Kissimmee,Polk,Standard,34759,28.094144,-81.48395
Oakland,Orange,P.O. Box,34760,28.555328,-81.63104
Ocoee,Orange,Standard,34761,28.574628,-81.52946
Okahumpka,Lake,Standard,34762,28.735088,-81.91035
Saint Cloud,Osceola,Standard,34769,28.24934,-81.28749
Saint Cloud,Osceola,P.O. Box,34770,27.995287,-81.259332
Saint Cloud,Osceola,Standard,34771,28.271939,-81.19645
Saint Cloud,Osceola,Standard,34772,28.198441,-81.27246
Saint Cloud,Osceola,Standard,34773,28.160376,-81.00041
Winter Garden,Orange,P.O. Box,34777,28.541579,-81.605846
Winter Garden,Orange,P.O. Box,34778,28.566338,-81.260818
Wildwood,Sumter,Standard,34785,28.852564,-82.0321
Windermere,Orange,Standard,34786,28.495982,-81.5362
Winter Garden,Orange,Standard,34787,28.536794,-81.59344
Leesburg,Lake,Standard,34788,28.857425,-81.7845
Leesburg,Lake,P.O. Box,34789,28.811078,-81.653642
Yalaha,Lake,Standard,34797,28.744182,-81.81859
Fort Pierce,Saint Lucie,Standard,34945,27.431607,-80.4915
Fort Pierce,Saint Lucie,Standard,34946,27.485272,-80.35243
Fort Pierce,Saint Lucie,Standard,34947,27.448688,-80.36247
Fort Pierce,Saint Lucie,P.O. Box,34948,27.382196,-80.409024
Fort Pierce,Saint Lucie,Standard,34949,27.472857,-80.29901
Fort Pierce,Saint Lucie,Standard,34950,27.448016,-80.33644
Fort Pierce,Saint Lucie,Standard,34951,27.53831,-80.40526
Port Saint Lucie,Saint Lucie,Standard,34952,27.291694,-80.29691
Port Saint Lucie,Saint Lucie,Standard,34953,27.246754,-80.38145
Fort Pierce,Saint Lucie,P.O. Box,34954,27.382196,-80.409024
Indiantown,Martin,Standard,34956,27.049788,-80.48057
Jensen Beach,Martin,Standard,34957,27.248445,-80.23277
Jensen Beach,Martin,P.O. Box,34958,27.242402,-80.224613
Okeechobee,Okeechobee,Standard,34972,27.39171,-80.87555
Okeechobee,Okeechobee,P.O. Box,34973,27.297631,-80.802656
Okeechobee,Okeechobee,Standard,34974,27.1944,-80.84644
Fort Pierce,Saint Lucie,P.O. Box,34979,27.382196,-80.409024
Fort Pierce,Saint Lucie,Standard,34981,27.410069,-80.36327
Fort Pierce,Saint Lucie,Standard,34982,27.393097,-80.3279
Port Saint Lucie,Saint Lucie,Standard,34983,27.312471,-80.34907
Port Saint Lucie,Saint Lucie,Standard,34984,27.273272,-80.34727
Port Saint Lucie,Saint Lucie,P.O. Box,34985,27.382196,-80.409024
Port Saint Lucie,Saint Lucie,Standard,34986,27.341158,-80.39786
Port Saint Lucie,Saint Lucie,Standard,34987,27.273586,-80.46447
Port Saint Lucie,Saint Lucie,P.O. Box,34988,27.386818,-80.503746
Palm City,Martin,Standard,34990,27.163485,-80.31267
Palm City,Martin,P.O. Box,34991,27.110182,-80.454196
Port Salerno,Martin,P.O. Box,34992,27.110182,-80.454196
Stuart,Martin,Standard,34994,27.195291,-80.25225
Stuart,Martin,P.O. Box,34995,27.17537,-80.241512
Stuart,Martin,Standard,34996,27.195927,-80.21143
Stuart,Martin,Standard,34997,27.136003,-80.21686
